field_1,field_2,field_3,field_4,field_5,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median
189,764919.202,6310005.957,22.446,2,232,20787.8620689655,19476.5,232,101.918103448276,104,232,16109.5646551724,15820,232,16849.349137931,15530.5,232,12994.5,13174.5
190,764912.979,6310009.505,22.429,4,232,21676.9568965517,21494.5,232,90.8146551724138,92,232,15885.1379310345,15697,232,18640.6336206897,18746,232,11741.849137931,11698
191,764911.166,6310007.606,22.445,4,236,22291.093220339,22182,236,79.2627118644068,81.5,236,15580.8516949153,15623.5,236,20008.3898305085,19737.5,236,11149.9957627119,11157
192,764906.809,6310008.871,22.432,7,235,18948.5659574468,16844,235,107.225531914894,112,235,15988.1489361702,15309,235,14763.1617021277,12800,235,13732.8127659574,14019
193,764903.656,6310011.483,22.449,9,232,17314.9137931034,16932.5,232,115.650862068966,119,232,15798.5043103448,15635,232,13265.5560344828,13120,232,14354.1379310345,14488.5
194,764899.45,6310009.068,22.437,8,234,21045.5384615385,20973.5,234,85.034188034188,87,234,15395.0341880342,15180.5,234,19058.5726495726,19085,234,11535.7435897436,11524.5
195,764895.183,6310004.696,22.424,9,233,19262.6738197425,18692,233,100.128755364807,101,233,15533.0772532189,15520,233,16241.0472103004,15669,233,12743.8454935622,12807
196,764891.525,6310001.954,22.411,11,233,16821.7725321888,16049,233,122.424892703863,123,233,16198.2060085837,15887,233,12437.4377682403,11764,233,14597.2060085837,14582
197,764886.853,6309999.849,22.429,10,235,16334.4,15618,235,107.885106382979,110,235,14975.6127659574,14732,235,12987.9829787234,12535,235,13648.1872340426,13697
198,764881.426,6309998.231,22.437,9,232,21478.3879310345,21626,232,82.6336206896552,82.5,232,16124.8060344828,16111,232,18250.5043103448,18724,232,11734.0732758621,11631.5
199,764877.721,6309995.134,22.389,17,233,15968.2403433476,15569,233,120.678111587983,119,233,15868.3433476395,15773,233,11527.1502145923,11245,233,14680.9227467811,14749
200,764871.028,6309991.529,22.46,6,235,21505.2510638298,20719,235,84.6936170212766,87,235,15642.4765957447,15500,235,19143.885106383,18423,235,11371.6978723404,11399
201,764863.107,6309987.407,22.454,10,234,16662.6111111111,16092.5,234,108.17094017094,111,234,14995.4017094017,14735,234,12384.9914529915,11905,234,13379.452991453,13560
