field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
1172,750112.217,6297704.157,25.536,-1,234,22301.2606837607,20241.5,234,19605.1752136752,17420,234,21274.7863247863,20981,234,24687.8290598291,23612,234,144.316239316239,147
1173,750113.634,6297703.274,25.544,-1,233,14467.0987124464,14497,233,9406.58369098713,9309,233,18755.356223176,18284,233,20068.7982832618,19400,233,56.3218884120172,54
1174,750115.104,6297702.785,25.55,-1,234,15798.9102564103,15405,234,9023.69658119658,8955.5,234,23703.4273504274,22736,234,24408.4957264957,23678,234,45.5555555555556,42
1175,750115.221,6297702.706,25.548,-1,235,15569.9617021277,15272,235,8837.68936170213,8815,235,24025.6510638298,23395,235,24419.5787234043,23764,235,45.2340425531915,43
1176,750116.94,6297702.593,25.539,-1,233,15081.5793991416,14818,233,9056.34334763949,8657,233,21919.2145922747,21870,233,22679.0515021459,22531,233,45.6309012875536,42
1177,750118.562,6297702.532,25.53,-1,232,14447.474137931,14516,232,8421.48275862069,8265,232,22566.4525862069,22672,232,22085.8362068966,22499,232,40.676724137931,39
1178,750120.237,6297701.925,25.538,-1,238,13883.6134453782,14125.5,238,7978.67226890756,7961.5,238,22851.8067226891,23478.5,238,22003.2941176471,22953.5,238,39.827731092437,38
1179,750121.863,6297702.187,25.543,-1,233,14173.025751073,14152,233,8522.84120171674,8314,233,20756.5708154506,20847,233,21050.7081545064,21269,233,49.5364806866953,48
1180,750123.357,6297702.05,25.535,-1,234,15018.3675213675,14784,234,9456.35897435897,9134,234,21119.2777777778,20812.5,234,21919.3974358974,21260,234,57.1025641025641,56
1181,750124.698,6297701.695,25.529,-1,236,14611.2033898305,14613,236,8958.75847457627,8851,236,21882.9618644068,21558,236,22137.0466101695,22123,236,54.0381355932203,51
1182,750126.041,6297701.439,25.542,-1,235,14921.0638297872,13940,235,9786.54468085106,9756,235,20107.7106382979,19202,235,21465.770212766,20448,235,65.1276595744681,65
1183,750127.088,6297701.594,25.494,1,234,14484.4786324786,13895.5,234,9586.5641025641,9235.5,234,18913.4786324786,18343,234,20049.5982905983,19439.5,234,59.8333333333333,58.5
1184,750128.386,6297701.108,25.489,1,234,13698.7948717949,12837,234,8714.15384615385,8326.5,234,19016.688034188,18447.5,234,19373.1239316239,18911,234,57.5811965811966,54
