field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1147,750012.598,6297698.821,25.522,1,9,57.4444444444444,59,15.0045260661287,34,84,9,11614.2222222222,11593,2282.06693726824,8994,16593,9,8593.77777777778,8651,1139.11464429157,7318,11250,9,13344.2222222222,12500,3679.41030232285,9874,22412,9,12248.2222222222,11900,2223.89836787055,9756,17311
1148,750011.572,6297699.129,25.483,1,9,87.3333333333333,82,16.0554594383897,65,115,9,15837.7777777778,15827,2906.76856770071,11558,20496,9,11853.3333333333,11752,1075.10154559155,10206,13679,9,18403.4444444444,18020,4193.36558310628,12085,24322,9,14548.3333333333,14093,2593.05538356245,10803,18647
1149,750011.995,6297700.997,25.485,1,9,113,109,8.98146239020499,105,135,9,17919.8888888889,18084,2022.12212206464,14762,21890,9,14076.5555555556,13836,798.252551391143,13040,15660,9,19388.4444444444,19819,3057.73518623438,14444,25236,9,14431.4444444444,14087,1874.3502050999,11912,18441
1150,750021.144,6297700.635,25.515,5,10,85.3,87,6.75351760196122,69,93,10,10400.3,10304.5,329.055633594078,9981,11111,10,9335.1,9317.5,390.3,8469,10136,10,8855.4,8831,222.475706538939,8486,9255,10,7739.5,7708.5,207.399252650534,7341,8089
1151,750024.019,6297704.812,25.449,7.5,9,56.7777777777778,59,14.8606697753782,28,79,9,12865.8888888889,12925,1540.57200375881,10412,15192,9,8914,9175,627.08142303142,7823,9677,9,15318.4444444444,16461,3045.42484214203,10539,20836,9,14202.7777777778,13901,2061.50434703386,11316,18020
1152,750025.434,6297709.375,25.505,5,10,58,53,23.2465051136725,21,91,10,14901.2,15548.5,2135.11989358912,11441,18394,10,9482,9496,1035.69387369048,8117,10881,10,18631.4,18749.5,3213.76160285731,14224,24294,10,17754,18077,1917.28474671865,14459,20240
1153,750027.195,6297714.114,25.519,6,10,58.4,59.5,15.0079978678037,36,88,10,16909.9,16656.5,1849.39992700335,13897,19648,10,9624.9,9738.5,520.242529980008,8716,10340,10,22383.8,21590,3361.567664052,18268,28025,10,21144.8,21408.5,1920.76358774317,17875,23916
1154,750033.605,6297718.657,25.517,6,9,45.7777777777778,39,18.4798856284206,25,83,9,13371.1111111111,13001,1172.20461282192,11707,15812,9,7503.22222222222,7460,558.683527545441,6659,8553,9,18478.2222222222,17507,2746.35624369526,15649,23328,9,18870.8888888889,18036,2491.76904781609,15410,23034
1155,750044.966,6297721.803,25.561,5,9,122.333333333333,121,4.80740170061865,115,130,9,14110.8888888889,14011,242.347062630089,13732,14471,9,12821.3333333333,12790,194.949566127584,12546,13163,9,10823.3333333333,10836,163.3469382089,10476,11036,9,7862.33333333333,7779,366.73635701353,7577,8811
1156,750050.553,6297725.501,25.515,5,9,50.7777777777778,45,27.6155261393046,17,86,9,17746.3333333333,17902,2002.85396372277,13590,20163,9,8878.88888888889,8686,931.035915818079,7834,10552,9,26987.8888888889,27149,2681.4942121654,22138,32082,9,23672.8888888889,23903,2423.23005027241,19586,26819
