field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median
735,765332.072000000043772,6308500.436999999918044,20.274000000000001,0.000000000000000,244.000000000000000,14892.782786885245514,14807.000000000000000,244.000000000000000,12453.979508196720417,12190.000000000000000,244.000000000000000,18143.594262295082444,17807.000000000000000,244.000000000000000,83.696721311475414,78.000000000000000,244.000000000000000,14794.463114754098569,14486.500000000000000
736,765331.157000000006519,6308498.497000000439584,20.311000000000000,0.000000000000000,242.000000000000000,16782.549586776858632,16612.500000000000000,242.000000000000000,12681.917355371901067,12751.500000000000000,242.000000000000000,19739.181818181819835,19135.500000000000000,242.000000000000000,83.219008264462815,79.000000000000000,242.000000000000000,15563.921487603305650,15103.000000000000000
737,765329.251999999978580,6308498.144000000320375,20.274999999999999,0.000000000000000,241.000000000000000,16774.373443983404286,15691.000000000000000,241.000000000000000,13367.800829875519412,13123.000000000000000,241.000000000000000,20294.141078838172689,17899.000000000000000,241.000000000000000,82.597510373443981,75.000000000000000,241.000000000000000,16074.149377593359532,14716.000000000000000
738,765322.789999999920838,6308501.473000000230968,20.274000000000001,0.000000000000000,245.000000000000000,15243.942857142857974,14491.000000000000000,245.000000000000000,13270.922448979592446,13008.000000000000000,245.000000000000000,18443.110204081633128,17196.000000000000000,245.000000000000000,85.008163265306123,83.000000000000000,245.000000000000000,15301.318367346939340,14459.000000000000000
739,765318.476000000024214,6308501.996000000275671,20.312999999999999,0.000000000000000,247.000000000000000,19489.955465587045182,18721.000000000000000,247.000000000000000,14185.477732793522591,13709.000000000000000,247.000000000000000,22496.983805668016430,21418.000000000000000,247.000000000000000,96.955465587044529,97.000000000000000,247.000000000000000,17939.574898785424011,17208.000000000000000
740,765316.126000000047497,6308502.061999998986721,20.274000000000001,0.000000000000000,242.000000000000000,15364.566115702478783,14788.500000000000000,242.000000000000000,13391.528925619835718,13331.500000000000000,242.000000000000000,17480.247933884296799,16422.500000000000000,242.000000000000000,91.541322314049580,92.000000000000000,242.000000000000000,14768.090909090909918,14153.500000000000000
741,765313.898999999975786,6308502.349999999627471,20.254000000000001,3.000000000000000,241.000000000000000,16242.224066390041116,15812.000000000000000,241.000000000000000,11274.950207468880762,10951.000000000000000,241.000000000000000,18885.269709543568752,17955.000000000000000,241.000000000000000,75.070539419087140,74.000000000000000,241.000000000000000,14846.908713692946549,14097.000000000000000
742,765312.530999999959022,6308505.207999999634922,20.300000000000001,0.000000000000000,244.000000000000000,15742.155737704917556,14798.000000000000000,244.000000000000000,13381.397540983605722,13350.500000000000000,244.000000000000000,17693.217213114752667,16482.000000000000000,244.000000000000000,93.250000000000000,89.000000000000000,244.000000000000000,14763.237704918032250,13905.500000000000000
743,765306.466999999945983,6308504.985999999567866,20.327000000000002,0.000000000000000,242.000000000000000,17813.264462809918768,17359.500000000000000,242.000000000000000,12421.177685950413434,12289.500000000000000,242.000000000000000,20831.892561983469932,20077.000000000000000,242.000000000000000,83.285123966942137,84.500000000000000,242.000000000000000,15930.516528925620150,15720.000000000000000
744,765302.244999999995343,6308504.809000000357628,20.271000000000001,1.000000000000000,244.000000000000000,14802.520491803279583,14421.500000000000000,244.000000000000000,11544.266393442623666,11389.500000000000000,244.000000000000000,17331.754098360655917,16735.000000000000000,244.000000000000000,76.725409836065580,71.500000000000000,244.000000000000000,13822.594262295082444,13397.500000000000000
