field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,G_count,G_mean,G_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
86,750207.387,6297041.882,26.003,"7",12,50.0833333333333,44,12,10608.75,10479.5,12,7319.5,7223.5,12,12744.6666666667,12337.5,12,12799.9166666667,12224.5
87,750203.186,6297041.213,26.061,"6",10,52.8,51.5,10,14651.9,14660,10,9467.4,9461,10,22362.4,21201.5,10,20751.5,20988.5
88,750197.74,6297040.128,26.217,"3",9,31.6666666666667,30,9,19433.8888888889,20114,9,11723.5555555556,11568,9,34544.6666666667,35748,9,30655.4444444444,31042
89,750196.182,6297039.548,26.288,"0",9,45.7777777777778,46,9,8970.11111111111,8933,9,7125.33333333333,7110,9,10873.8888888889,10658,9,11665,10972
90,750196.096,6297041.692,26.283,"0",8,58.625,50,8,16754.875,16968,8,9421.125,9536,8,26951.625,27810,8,28443.125,29203.5
91,750194.984,6297043.407,26.234,"1",9,42.2222222222222,34,9,13972.5555555556,13004,9,8671.88888888889,8544,9,19527.6666666667,17958,9,19104,18011
92,750191.776,6297038.983,26.339,"5",10,45.7,46,10,12018.1,12004,10,6714.6,6597.5,10,15192.4,14926,10,11438,11484
93,750190.646,6297039.875,26.357,"3",9,39.8888888888889,38,9,9761.77777777778,9562,9,6512.66666666667,6507,9,11707.1111111111,11376,9,8925.66666666667,8746
94,750186.791,6297039.625,26.444,"9",9,78,76,9,10384.7777777778,10403,9,7820.22222222222,7793,9,9581.66666666667,10279,9,6901.11111111111,6810
95,750188.424,6297044.442,26.379,"0",9,52.3333333333333,50,9,11286.4444444444,11278,9,6021.55555555556,6140,9,14443.1111111111,14746,9,11355.8888888889,11379
96,750187.766,6297045.972,26.394,"0",10,43.9,45.5,10,12574.1,12687.5,10,6691.1,6697.5,10,14678.1,14656.5,10,11244.7,11456.5
97,750188.902,6297046.447,26.318,"4",9,62.2222222222222,65,9,13545.4444444444,13634,9,7499.44444444444,7479,9,16162.3333333333,16564,9,11794.2222222222,12023
98,750193.157,6297047.27,26.202,"3",8,66.625,74.5,8,27964.125,28335,8,16500.75,16264,8,51197.375,52563,8,47505.75,47732.5
99,750199.178,6297048.138,26.092,"5",8,44.125,44,8,14074.75,14061,8,8610.25,8742.5,8,20717.25,20917,8,19066.125,19163
100,750202.66,6297049.689,25.972,"5",9,43.7777777777778,38,9,15136,14662,9,9135.33333333333,9087,9,24787,24564,9,25653.5555555556,25996
101,750206.547,6297051.04,25.891,"7",9,32.3333333333333,34,9,17843.2222222222,16270,9,10883.4444444444,10335,9,28106.1111111111,27818,9,24459.5555555556,23605
102,750210.3,6297052.253,25.827,"5",9,48.5555555555556,51,9,19040.6666666667,17943,9,12542,12953,9,29892,28173,9,30573.7777777778,31197
103,750213.888,6297053.945,25.687,"16",9,88.7777777777778,89,9,9728.44444444445,9752,9,9131.55555555555,9178,9,7463.44444444444,7316,9,6283.77777777778,6212
104,750215.899,6297055.436,25.667,"12",10,80.8,81,10,10284.5,10146,10,9585.2,9598.5,10,10032.5,9287.5,10,8921.9,8956
105,750219.024,6297056.575,25.583,"10",9,61.5555555555556,62,9,10224,10399,9,7469.11111111111,7387,9,11469,11554,9,10269.1111111111,9859
106,750222.309,6297056.839,25.567,"10",10,97.7,93,10,18834.3,18129.5,10,12098.2,11237.5,10,27265,25528.5,10,22563.8,22635
107,750226.161,6297057.368,25.512,"9.5",9,50.8888888888889,48,9,14355.8888888889,14091,9,8842.66666666667,8566,9,22500.3333333333,22398,9,20959.7777777778,20843
108,750230.781,6297056.088,25.473,Esp1,9,37.3333333333333,35,9,17220.5555555556,17057,9,11240.6666666667,10994,9,31607.4444444444,32531,9,32599.6666666667,31920
109,750232.228,6297054.599,25.461,"9",9,50.5555555555556,50,9,11728.3333333333,11445,9,7530.77777777778,7258,9,16596.4444444444,16196,9,16791.3333333333,16791
110,750233.277,6297051.222,25.49,"8",10,48.7,49,10,17875.6,17764,10,12092.8,12723,10,31880.2,29301,10,32712.8,33687
111,750236.901,6297050.352,25.417,"8.5",8,81,81.5,8,9186,9148,8,7899.125,7968,8,7967,7981,8,7146.625,7060
112,750243.433,6297049.819,25.347,"14",8,63,63,8,27249.5,25463,8,15895.625,15479.5,8,46525.875,48190,8,37758.625,39446
113,750245.505,6297049.668,25.322,"17",10,60.3,63,10,12161.9,11632.5,10,7342.5,7260,10,15020.4,14310,10,12983.8,12910
114,750248.582,6297049.692,25.386,"10",9,37.4444444444444,32,9,10852.3333333333,10553,9,6516.11111111111,6493,9,14098.3333333333,14328,9,13892.2222222222,13666
115,750251.955,6297050.464,25.422,"7",9,64.5555555555556,69,9,12903.1111111111,13410,9,7371.44444444444,7164,9,18665.2222222222,17906,9,15336,13814
116,750250.065,6297054.504,25.383,"7",10,58.2,62,10,18823.7,18713,10,11916.4,11760,10,31553,31226,10,34361.4,31467
117,750249.532,6297055.888,25.5,"0",9,94.2222222222222,94,9,10801.1111111111,10848,9,10066.7777777778,9990,9,8637.88888888889,8613,9,6068.44444444444,6075
118,750242.812,6297060.506,25.363,"11",12,68.75,62.5,12,13337.5,13373.5,12,8137.66666666667,8296,12,16709.9166666667,16841,12,12789.1666666667,12575.5
119,750239.593,6297061.914,25.391,"8",9,59,57,9,14016.2222222222,13375,9,8897.11111111111,8904,9,18576.6666666667,18934,9,16571.7777777778,16823
120,750237.557,6297064.907,25.422,"9",9,56.5555555555556,59,9,15834.6666666667,15795,9,9678,9598,9,23339,23435,9,19823,19643
121,750228.756,6297063.685,25.439,"8",9,56.4444444444444,51,9,10893.1111111111,11586,9,8812.11111111111,8204,9,11799.7777777778,10300,9,11338.4444444444,11215
122,750223.281,6297063.615,25.525,"7.5",9,67.6666666666667,65,9,9075.55555555555,8227,9,7162.44444444444,6955,9,9371.44444444445,8118,9,8719.44444444445,8236
123,750219.719,6297063.753,25.564,"11",9,68,70,9,10624.1111111111,10467,9,7990.66666666667,8090,9,11126.3333333333,10682,9,9998.33333333333,9640
124,750216.21,6297062.882,25.609,"8",9,59.6666666666667,62,9,17362.2222222222,17676,9,11410.7777777778,11415,9,26438.1111111111,26761,9,21982.6666666667,22473
125,750211.99,6297064.551,25.648,"14",9,89.5555555555556,89,9,9992.44444444445,9924,9,9489.44444444445,9492,9,7270.66666666667,7313,9,6129.22222222222,6126
126,750208.976,6297064.03,25.73,"10",8,78,77.5,8,15366.375,15162,8,10709.625,10634,8,19201,19308,8,14096.5,14070
127,750205.46,6297062.86,25.79,"8",9,62.5555555555556,61,9,9905.33333333333,9795,9,7550.55555555556,7639,9,9845.22222222222,9634,9,8972.66666666667,8965
128,750201.462,6297061.596,25.901,"7",9,53.6666666666667,55,9,12548.6666666667,12643,9,8063.77777777778,8110,9,14199.2222222222,14375,9,10962.2222222222,10963
129,750197.678,6297060.473,25.985,"7",9,49.7777777777778,48,9,11330.8888888889,11224,9,7142.11111111111,6941,9,12358.4444444444,12381,9,10464.6666666667,10430
130,750192.952,6297059.232,26.064,"6",9,58.8888888888889,64,9,20303.8888888889,18648,9,12890,14238,9,33500.5555555556,34308,9,27371.7777777778,27867
131,750186.977,6297058.846,26.204,"5",9,72,74,9,12838.3333333333,13071,9,9144.22222222222,9023,9,17794.4444444444,17510,9,14380,14136
132,750186.821,6297055.134,26.298,"0",9,38.5555555555556,36,9,16078.6666666667,16381,9,9180.44444444445,9097,9,27337,27789,9,26413.1111111111,26659
133,750185.23,6297057.698,26.272,"0",9,43.4444444444444,42,9,24605.4444444444,25850,9,14255.1111111111,14997,9,40249.4444444444,38632,9,39492.4444444444,38827
134,750184.311,6297059.505,26.252,"0",8,17.75,14.5,8,12941.625,12836.5,8,7718.75,7539,8,22131.125,21721.5,8,23184.375,22398.5
135,750183.083,6297061.044,26.266,"0",9,63.5555555555556,68,9,21111.1111111111,22096,9,13653.8888888889,14019,9,41212.8888888889,40376,9,36714.1111111111,35205
136,750179.032,6297061.635,26.334,"5",10,48.7,46.5,10,7696.4,7526,10,6453.6,6396.5,10,9405.2,9371,10,7856.2,7877.5
137,750173.388,6297062.201,26.399,"11",9,79.4444444444444,80,9,9736.88888888889,9797,9,7592.44444444444,7727,9,8553.22222222222,8411,9,6736.55555555556,6685
138,750175.186,6297066.149,26.334,"4",12,54.4166666666667,53,12,19212.3333333333,19362.5,12,10086.8333333333,9804,12,28516.5833333333,29018,12,25202.1666666667,25349.5
139,750178.142,6297071.217,26.157,"6",12,65.9166666666667,65.5,12,10285.8333333333,9969,12,7035.5,7014.5,12,9652.41666666667,9589.5,12,8656.08333333333,8674
140,750183.381,6297072.288,26.078,"6",12,56.8333333333333,57.5,12,18129.1666666667,19084.5,12,10617.1666666667,10204.5,12,28108.5,28989,12,26874.9166666667,27413.5
141,750187.479,6297073.996,25.98,"9",9,68.8888888888889,74,9,21147.3333333333,21883,9,12125.8888888889,12867,9,35530.8888888889,35833,9,29103.8888888889,29392
142,750190.763,6297076.401,25.888,"8",11,52.0909090909091,53,11,10892.1818181818,10778,11,6938.18181818182,6716,11,12642.1818181818,12717,11,10447.9090909091,10479
143,750194.362,6297078.323,25.823,"6",9,41,41,9,11115.4444444444,11500,9,6990.22222222222,6990,9,14434.6666666667,14287,9,13862.2222222222,13791
144,750198.726,6297079.245,25.766,"8",10,66.1,59,10,13411,13838.5,10,9350.1,9496,10,16749.3,16844,10,12489.8,12166
145,750202.543,6297080.638,25.658,"15",9,84.7777777777778,84,9,11102.8888888889,11035,9,11762,11443,9,9974,9638,9,8235.88888888889,8113
146,750205.794,6297081.472,25.586,"7",12,76.75,78,12,9987.91666666667,9799,12,9667.75,9497,12,9358.91666666667,9101.5,12,7580.58333333333,7574
147,750208.954,6297082.512,25.586,"9",12,97,97.5,12,10953.6666666667,10931.5,12,11454,11429,12,8745.08333333333,8707,12,6282.5,6338
148,750212.459,6297083.183,25.477,"11",12,105.416666666667,105,12,11775.6666666667,11755.5,12,12888.4166666667,12848.5,12,9304.25,9352.5,12,6459.83333333333,6449.5
149,750217.415,6297084.737,25.46,"9",9,22.3333333333333,20,9,11028.3333333333,10965,9,7311.88888888889,7022,9,15530.2222222222,15535,9,16200.7777777778,16289
150,750224.464,6297084.336,25.45,"4",9,54.8888888888889,58,9,17494.2222222222,17298,9,11669.1111111111,12029,9,25246,25288,9,24199.5555555556,23115
151,750232.021,6297086.667,25.346,"9",9,54.5555555555556,52,9,12047.6666666667,11554,9,8259.33333333333,8090,9,16910,16270,9,16406.2222222222,16322
152,750241.632,6297084.271,25.352,"8",9,47.7777777777778,43,9,14879.7777777778,14628,9,9314.77777777778,9093,9,23450.7777777778,23129,9,20777.2222222222,20765
153,750249.248,6297082.487,25.375,"10",9,53.7777777777778,55,9,13612.8888888889,13344,9,8144.33333333333,8016,9,21061,21293,9,19339.7777777778,19395
154,750253.619,6297083.229,25.334,"6",9,107,113,9,31063,32138,9,17791.8888888889,19613,9,46492.5555555556,51694,9,34290.7777777778,33742
155,750261.345,6297083.16,25.291,"10",9,20.7777777777778,21,9,13968.1111111111,13162,9,8550.55555555555,8105,9,18663.4444444444,17508,9,17131.4444444444,15842
156,750270.688,6297088.939,25.188,"11",9,59.3333333333333,55,9,26289.8888888889,26016,9,12714.6666666667,12860,9,49846.3333333333,51483,9,43062.5555555556,44883
157,750272.411,6297089.065,25.062,"22",9,63.3333333333333,60,9,7866.66666666667,7339,9,5864.55555555556,5885,9,7751.77777777778,7289,9,6707.88888888889,6622
158,750275.058,6297094.126,25.144,"24",8,80.25,84.5,8,21336.125,21776,8,10645.375,10643.5,8,34141.5,34908.5,8,26574.25,26595
159,750274.868,6297098.188,25.124,"29",10,57.2,57.5,10,6959.2,6918.5,10,6131,6129,10,5840.3,5823,10,5079.3,5086.5
160,750278.152,6297099.71,25.084,"28",10,60.9,63,10,7957.8,7874,10,6563.9,6668,10,7083.5,6986.5,10,6090.5,6018.5
161,750270.688,6297100.596,25.155,"22",9,71.7777777777778,74,9,24816.3333333333,24928,9,14689.6666666667,14901,9,33143.8888888889,33182,9,30176.2222222222,29754
162,750266.797,6297101.386,25.177,"20",9,85.4444444444444,77,9,20170.2222222222,19656,9,12369.1111111111,11638,9,23461.7777777778,23644,9,18307.7777777778,17781
163,750262.143,6297102.052,25.182,"20",9,53.4444444444444,47,9,19283.6666666667,18504,9,11586.7777777778,11463,9,29846.3333333333,29750,9,23587.2222222222,23287
164,750256.061,6297103.506,25.229,"20",9,78.2222222222222,77,9,8868.33333333333,8768,9,8121.22222222222,7959,9,7637.22222222222,7369,9,6841.22222222222,6693
165,750250.701,6297104.564,25.349,"9",9,48.5555555555556,43,9,14113.8888888889,13930,9,9142.33333333333,8983,9,21077.8888888889,21100,9,21910.4444444444,21386
166,750246.666,6297105.37,25.395,"6",9,70.6666666666667,71,9,12541.3333333333,12288,9,8504.66666666667,8030,9,16374,15928,9,14826.7777777778,14307
167,750242.179,6297106.221,25.384,"7",9,108.222222222222,112,9,23098.4444444444,20509,9,18934.2222222222,18715,9,33500.2222222222,32341,9,27234.7777777778,27383
168,750238.616,6297106.446,25.4,"5",9,92.6666666666667,93,9,10138.7777777778,10095,9,11737,11830,9,8752.11111111111,8748,9,6648.77777777778,6710
169,750241.031,6297101.693,25.431,"3",9,52.3333333333333,62,9,22186.2222222222,20920,9,13994.1111111111,12849,9,36398.4444444444,32935,9,35207.3333333333,33518
170,750237.59,6297102.938,25.407,"4",9,81.5555555555556,81,9,8632.44444444445,8625,9,8917.33333333333,8852,9,7210.22222222222,7164,9,5890,5848
171,750236.329,6297109.694,25.402,"5",9,89.8888888888889,90,9,10148,10130,9,11582.4444444444,11432,9,9144.11111111111,9110,9,7099.33333333333,7078
172,750228.147,6297114.203,25.433,"4",8,74.125,81,8,19907.375,20494.5,8,11825.5,11917.5,8,28814.625,29742.5,8,21787.625,23699
173,750220.548,6297112.723,25.434,"4",9,76.4444444444444,84,9,23966.3333333333,24411,9,15698.2222222222,16680,9,42278.2222222222,45414,9,36642.5555555556,37696
