field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,G_stdev,G_min,G_max,B_count,B_mean,B_median,B_stdev,B_min,B_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1351,772034.471,6306707.844,21.539,"5",9,0.00235716095711622,0.0023614726960659,7.356198683812e-05,0.0022679097019136,0.00247140112333,9,94.6506712171767,93.1370391845703,3.09739481507483,90.9890594482422,101.414825439453,9,0.0022276119949917,0.00224030530080199,4.24252769959315e-05,0.00216573243960738,0.0022978805936873,9,0.00449137612142497,0.00443891482427716,0.000241828224037062,0.00413066660985351,0.00488159153610468,9,0.00581536638653941,0.00585467321798205,0.000290911911151481,0.00542385829612613,0.00629139458760619
1352,772032.88,6306712.081,21.553,"5",11,0.00242092233913189,0.00243423576466739,0.000169113804814001,0.00218587322160602,0.00282015884295106,11,77.0062429254705,77.4401779174805,4.61473897264507,65.2752990722656,82.7799682617188,11,0.00194949347695166,0.00196793139912188,7.55252941584051e-05,0.00184749742038548,0.00207569869235158,11,0.00515807369215922,0.00512852473184466,0.000454498648139044,0.004399957600981,0.00605931272730231,11,0.00769861584359949,0.00765696167945862,0.000580617552810951,0.00679588411003351,0.00897904206067324
1353,772031.1,6306721.19,21.572,"7",10,0.00328162312507629,0.00335260818246752,0.000401231343758149,0.00262518343515694,0.00393217988312244,10,102.266552734375,105.079853057861,7.67679244614027,85.663688659668,109.734580993652,10,0.00237016594037414,0.00234194123186171,6.94569700788824e-05,0.0022800553124398,0.00249551795423031,10,0.00660344259813428,0.00667823292315006,0.00109270916584519,0.0047148079611361,0.00853552483022213,10,0.00848371549509466,0.00875785201787949,0.00135161294444851,0.00633227359503508,0.0106155341491103
1354,772042.921,6306743.965,21.627,"6.5",9,0.00240644059764842,0.00244869687594473,0.00012565406676255,0.00222699576988816,0.0026499736122787,9,98.3111521402995,99.1849060058594,4.07738864505802,92.1892013549805,105.028900146484,9,0.00219366070814431,0.00218095351010561,6.55849800539864e-05,0.0020902487449348,0.00231785327196121,9,0.00456291002531846,0.00457875244319439,0.00032710613460372,0.00410683546215296,0.00516963936388493,9,0.00565317650842998,0.00555793661624193,0.00038216568824819,0.00516477040946484,0.0062770489603281
1355,772042.951,6306743.973,21.64,"9",10,0.00248021979350597,0.00245367258321494,0.000208815606205985,0.00222699576988816,0.00292864837683737,10,100.729486846924,99.363208770752,6.69300581937085,92.1892013549805,114.109184265137,10,0.00224580562207848,0.00224119087215513,7.65065343943713e-05,0.00212041568011045,0.00237647909671068,10,0.00463428292423487,0.00448089255951345,0.000442486613108801,0.00410683546215296,0.00554648973047733,10,0.00566126788035035,0.00554920081049204,0.000401912041185691,0.00516477040946484,0.00648294715210795
1356,772042.958,6306743.964,21.631,"9",9,0.00257761921319697,0.00249582692049444,0.000230199459773962,0.00228277128189802,0.00294461427256465,9,103.127723693848,103.380294799805,8.15356980627962,92.1892013549805,115.904434204102,9,0.00227006527388261,0.0022607680875808,6.41117889752469e-05,0.00218073185533285,0.00237647909671068,9,0.00482611963525414,0.00466826371848583,0.000491884635737462,0.00414433516561985,0.00557951489463449,9,0.00585481493423382,0.00559274666011333,0.000492708782431258,0.00526691321283579,0.00674694636836648
1357,772050.13,6306766.325,21.627,"9",9,0.00230756070878771,0.00225017475895584,0.000137357767254339,0.00213492591865361,0.00255559314973652,9,96.1612464057075,96.041015625,3.88278874754044,90.8507690429688,102.085578918457,9,0.00222012299733857,0.00220405566506088,6.13264807337942e-05,0.00213385350070894,0.00233314046636224,9,0.00428176901510192,0.00408702809363604,0.000503439673435127,0.00367385870777071,0.00516706751659513,9,0.00526027505596479,0.00507721211761236,0.000481452092879629,0.00469573214650154,0.0061398483812809
1358,772056.023,6306768.352,21.668,"9.5",9,0.00299996422189805,0.00305949989706278,0.000260129903477897,0.00263310992158949,0.00338617409579456,9,111.509022182888,107.847511291504,9.40245768306068,99.286491394043,126.371322631836,9,0.00226547069744103,0.00230235676281154,6.7062557901575e-05,0.0021113392431289,0.00233797007240355,9,0.00577368157812291,0.00577082764357328,0.000697364326786575,0.00473798252642155,0.0067953122779727,9,0.00710535628928079,0.00691734440624714,0.000639085593274532,0.0062986733391881,0.00808739848434925
1359,772059.842,6306771.019,21.705,"4",10,0.00286397284362465,0.00287453480996192,0.000147559839826049,0.00263921287842095,0.0030725859105587,10,115.771370697021,117.387592315674,5.96281430977641,106.529273986816,123.877288818359,10,0.00211729458533227,0.00209407822694629,6.87146848249088e-05,0.00203094445168972,0.00224242988042533,10,0.0058411352802068,0.00585788046009839,0.000557599753213382,0.0048900730907917,0.00698420684784651,10,0.00811455687507987,0.00834789592772722,0.000688110346544922,0.00674285786226392,0.00901014171540737
1360,772060.458,6306771.249,21.708,"5",9,0.0025747288018465,0.00251306989230216,0.000198950010486784,0.00234184833243489,0.00308501883409917,9,115.021917555067,114.771873474121,5.09841489678032,107.447204589844,126.741706848145,9,0.00230000243108306,0.00230197398923337,4.64643324642174e-05,0.00220485357567668,0.00236237491481006,9,0.0047718511066503,0.00460323831066489,0.000662706900248292,0.00426289811730385,0.00652017584070563,9,0.00622655202945073,0.00613510794937611,0.000666806421457382,0.00560596026480198,0.00795766711235046
