field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
74,764857.75,6310081.79,22.476,14,8,17754.25,17546,8,22130.625,21914,8,84.625,84,8,11547,11570,8,16916.875,17157
75,764856.202,6310083.032,22.467,13,9,16296.8888888889,15893,9,21923.8888888889,19769,9,93.8888888888889,90,9,12690.5555555556,12643,9,17487.2222222222,16593
76,764854.479,6310082.833,22.473,13,10,12187.3,11385,10,15419.6,14659,10,108.7,109,10,13161.8,13122.5,10,14946.1,14704
77,764852.09,6310085.215,22.484,10,9,9823.77777777778,9572,9,15036,14664,9,134.666666666667,137,9,16512.4444444444,16914,9,16265.4444444444,16334
78,764851.813,6310086.423,22.506,8,9,9438.88888888889,9371,9,14312,14458,9,137.222222222222,139,9,18884.6666666667,19201,9,17114.8888888889,17173
79,764851.391,6310087.669,22.567,4,9,12204.2222222222,11947,9,15627.6666666667,15057,9,123.777777777778,124,9,15237.1111111111,15367,9,15558.2222222222,15449
80,764849.758,6310088.134,22.49,9,9,19681.4444444444,21164,9,25250.1111111111,26324,9,105.222222222222,111,9,12015.6666666667,11833,9,17480.7777777778,17367
81,764845.076,6310089.15,22.503,10,9,9693.22222222222,9504,9,13204,12830,9,115.666666666667,121,9,13776.1111111111,13665,9,13821.5555555556,13764
82,764842.976,6310090.465,22.464,13,9,10096.5555555556,9774,9,14718.5555555556,14033,9,114.666666666667,115,9,13401.1111111111,13534,9,14507.6666666667,14308
83,764839.112,6310091.347,22.461,10,10,11800.7,12090,10,16531.4,16131.5,10,109,106.5,10,13117.7,13341,10,14983.8,15145.5
84,764833.637,6310087.559,22.536,11,9,14526.7777777778,14054,9,18517,17743,9,100.111111111111,102,9,13631.4444444444,13544,9,16049.6666666667,15061
85,764827.218,6310086.913,22.484,11,9,12502.1111111111,11810,9,16482.8888888889,15903,9,105,108,9,12647,12581,9,14496.4444444444,14496
86,764821.496,6310087.038,22.482,8,9,12515,12214,9,15743.6666666667,14424,9,97.6666666666667,103,9,12309,12369,9,14140.5555555556,13830
87,764817.59,6310087.272,22.475,10,9,11944.4444444444,11658,9,15553,14520,9,121.666666666667,116,9,14375.7777777778,14258,9,14938.3333333333,14453
88,764811.776,6310089.026,22.488,9,10,13759.7,13813.5,10,16539.1,15318,10,96.7,98.5,10,12550.2,12552,10,13994.1,13470
89,764804.969,6310090.882,22.474,10,9,16867.1111111111,16806,9,20753.3333333333,21427,9,82.8888888888889,84,9,11593.4444444444,11464,9,15329.2222222222,14996
90,764799.167,6310091.431,22.503,11,10,10949.5,10975,10,16663.2,16867.5,10,120.3,121,10,16297.7,16148.5,10,19026.3,18907
91,764791.991,6310091.389,22.463,13,9,12727.8888888889,12136,9,14560.1111111111,13883,9,93.5555555555556,95,9,9587.11111111111,9580,9,13360.8888888889,12801
92,764783.097,6310091.318,22.538,11,10,8589.2,8577.5,10,12011.3,11988,10,96.1,96,10,10345.5,10341,10,12320.4,12312
93,764788.865,6310117.377,22.544,6.5,11,18419.7272727273,19080,11,20283.0909090909,20706,11,51.2727272727273,51,11,8768.45454545455,8698,11,15132.7272727273,15298
94,764792.797,6310113.241,22.554,7,9,19404.3333333333,19447,9,19664.1111111111,19257,9,61.4444444444444,61,9,8577.66666666667,8558,9,14723.6666666667,14726
95,764797.4,6310112.306,22.493,11,9,12540.1111111111,12214,9,13635.3333333333,13409,9,73.3333333333333,72,9,8385,8388,9,11730,11598
96,764802.868,6310112.453,22.531,9,9,13741,13560,9,15634.3333333333,15176,9,78.1111111111111,76,9,9466.88888888889,9418,9,13034.2222222222,12956
97,764808.115,6310108.369,22.548,6.5,9,10719.6666666667,10796,9,13990.3333333333,13900,9,105.666666666667,106,9,11778.2222222222,11622,9,13854.1111111111,13782
98,764814.972,6310107.9,22.51,7,9,16468.1111111111,15979,9,16903.5555555556,16214,9,70,75,9,8569.22222222222,8545,9,12888.5555555556,12718
99,764820.398,6310107.15,22.489,9,9,20020,20255,9,21971,21744,9,67.1111111111111,71,9,8625.66666666667,8683,9,15222.8888888889,15080
100,764824.233,6310106.706,22.526,7.5,11,19325.0909090909,19695,11,20093.9090909091,20585,11,60.5454545454545,56,11,8559.90909090909,8586,11,14400.7272727273,14634
101,764827.373,6310106.962,22.493,9,9,15851.1111111111,15365,9,18611.1111111111,18924,9,69.8888888888889,69,9,9109.22222222222,9062,9,14571.1111111111,14505
102,764832.339,6310106.092,22.537,8,10,15266.1,15755,10,19911.1,21311,10,87.3,89,10,10777.9,10740,10,15786.5,15938
103,764834.95,6310105.521,22.537,6,9,14923.7777777778,15250,9,17226.7777777778,17136,9,80.2222222222222,80,9,9327.11111111111,9260,9,13622.8888888889,13617
104,764839.15,6310105.221,22.546,5,9,14561.4444444444,14996,9,15877.7777777778,15630,9,85.7777777777778,86,9,10063,10129,9,13779.1111111111,13683
105,764845.538,6310104.184,22.564,5,10,11348.9,10999,10,13906.2,13761,10,90.5,93,10,11724.5,11636.5,10,14008.3,14066
106,764851.486,6310103.526,22.52,8,9,9430.77777777778,9425,9,13609.6666666667,13561,9,121.222222222222,121,9,14279,14332,9,15330.3333333333,15331
107,764856.216,6310103.688,22.525,10,11,11572.3636363636,11517,11,14108.5454545455,14008,11,86.9090909090909,90,11,10358.2727272727,10357,11,13484.8181818182,13467
108,764862.601,6310103.34,22.502,9,9,14744.7777777778,14069,9,18784.3333333333,17824,9,92.7777777777778,91,9,9913.44444444445,9928,9,15529.1111111111,15097
109,764867.956,6310096.635,22.484,12,9,28869.5555555556,29262,9,26896.6666666667,27027,9,53.4444444444444,56,9,8347.44444444445,8224,9,15579.8888888889,15481
110,764868.912,6310092.337,22.474,10,9,19254,20290,9,24238.1111111111,25289,9,87.6666666666667,85,9,9994.33333333333,9912,9,16160.4444444444,16611
111,764865.71,6310086.076,22.465,12,9,13496.6666666667,13001,9,18217.8888888889,17576,9,102.888888888889,99,9,13681.7777777778,13649,9,15845.4444444444,15479
112,764864.576,6310084.145,22.454,14,9,9232.77777777778,9188,9,14003.6666666667,13914,9,120.222222222222,121,9,16421.3333333333,16353,9,16057.6666666667,16090
