field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
1019,750232.099,6297593.041,25.079,8.5,9,15132.2222222222,16001,9,20660.2222222222,21951,9,62.6666666666667,54,9,19669.1111111111,19850,9,15376.2222222222,15157
1020,750225.127,6297595.313,25.102,7,10,22116.8,22343.5,10,20608,20524,10,69.1,71.5,10,28073.8,28167.5,10,14366.2,14608.5
1021,750225.032,6297595.285,25.111,7,9,17543.5555555556,16904,9,17234,16838,9,50,51,9,21964.6666666667,21719,9,11846.7777777778,11656
1022,750218.844,6297598.287,25.117,5,10,20718.2,21063,10,20844.3,21779.5,10,101.1,101.5,10,25719.7,26110.5,10,15768.3,16219.5
1023,750215.795,6297598.728,25.107,4,9,8231.66666666667,7717,9,10750,10419,9,88.1111111111111,78,9,10991.8888888889,10073,9,10128.6666666667,9663
1024,750209.115,6297601.099,25.101,11,8,6937.375,6902,8,11621.125,11595,8,95,95,8,9485.625,9522,8,15793.375,15837.5
1025,750205.638,6297602.546,25.143,8,8,6823.25,6788,8,10662.125,10528,8,77.875,78.5,8,8592.125,8370,8,12736.75,12615
1026,750199.867,6297603.819,25.076,15,9,6236.66666666667,6237,9,7085.66666666667,7045,9,61.6666666666667,62,9,6485.33333333333,6508,9,7908.55555555556,7863
1027,750188.906,6297610.08,25.203,8,9,28470.7777777778,29032,9,21261.4444444444,21624,9,56.5555555555556,60,9,32393.3333333333,33139,9,13534.3333333333,13601
1028,750184.434,6297611.821,25.215,6,9,20896.5555555556,21127,9,19168,19682,9,61.2222222222222,63,9,22187.3333333333,22401,9,13144.3333333333,13020
1029,750177.667,6297613.118,25.198,6,9,13318.2222222222,12591,9,13182.2222222222,13549,9,62.4444444444444,49,9,15223.5555555556,14936,9,10199.8888888889,10052
1030,750172.465,6297615.335,25.191,6,8,19344.875,19064,8,17815,18806.5,8,54,61.5,8,25349.5,26107.5,8,13677,13946
1031,750165.721,6297617.32,25.216,8,11,17292.1818181818,16116,11,18287.2727272727,18461,11,68.1818181818182,59,11,23466.0909090909,23345,11,13284.1818181818,13195
1032,750162.292,6297620.434,25.229,7,9,17754.8888888889,17693,9,16482.6666666667,16165,9,87.2222222222222,100,9,22866.4444444444,23392,9,12158.3333333333,12081
1033,750159.047,6297621.983,25.254,5,9,21076.1111111111,21184,9,17343.1111111111,17657,9,46.5555555555556,40,9,24028.4444444444,23939,9,11647.1111111111,11446
1034,750156.202,6297622.096,25.287,5,8,26116.375,24908,8,22275.5,21796,8,63.375,69,8,31262,30809,8,13341,13349
1035,750151.82,6297622.81,25.25,9,9,11640.1111111111,11847,9,13783.2222222222,13886,9,108.444444444444,112,9,12925.4444444444,12935,9,15075.2222222222,15107
