field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
348,765041.555,6308911.989,20.86,5,9,13734.7777777778,13196,9,18099.2222222222,16805,9,96,103,9,23377.4444444444,21402,9,16998.7777777778,15917
349,765028.774,6308903.284,20.802,7,8,9234,9302,8,12812.625,12940.5,8,53,44.5,8,17358,16756,8,15524.875,15243
350,765021.183,6308898.348,20.867,5,10,10077.9,9134,10,15468.8,14914.5,10,59,57.5,10,20645.9,19481.5,10,16746.8,15998
351,765021.541,6308895.423,20.852,4.5,9,8620.77777777778,8455,9,10669.3333333333,10030,9,43.7777777777778,32,9,13728.6666666667,12642,9,13679.6666666667,13404
352,765021.308,6308893.542,20.856,4.5,10,11301.8,11850,10,17195.9,17176,10,56.5,57.5,10,22649.4,22031,10,17407.7,18289.5
353,765022.306,6308888.587,20.914,1,9,14978.3333333333,15689,9,22286.3333333333,23664,9,85.5555555555556,80,9,32434.1111111111,33600,9,24244,24147
354,765016.735,6308881.791,20.853,2,9,12094.3333333333,12765,9,17588.3333333333,17942,9,69.7777777777778,71,9,22905.3333333333,22113,9,22561.4444444444,23071
355,765015.403,6308880.419,20.859,2.5,9,12677.4444444444,12140,9,17617.6666666667,16421,9,61.2222222222222,59,9,26099.1111111111,25027,9,23456.6666666667,23466
356,765013.931,6308877.542,20.866,3,9,7092.88888888889,6953,9,6703.44444444444,6677,9,32.2222222222222,30,9,8775.11111111111,8369,9,8900.11111111111,8871
357,765014.638,6308876.243,20.858,5,9,13554.4444444444,13967,9,17806.7777777778,18507,9,61.1111111111111,53,9,24207.6666666667,25473,9,16453.5555555556,16613
358,765014.667,6308874.213,20.854,5,10,11565.5,11225,10,16207.1,16019.5,10,60.3,62,10,22273.7,22959,10,18188.2,17936.5
359,765013.94,6308872.321,20.854,3.5,9,9595.77777777778,8788,9,12363.6666666667,12248,9,55.8888888888889,39,9,19763.8888888889,20722,9,15449.1111111111,15269
360,765010.715,6308869.803,20.89,2,9,10333.6666666667,9227,9,13583.2222222222,12527,9,54.3333333333333,38,9,19549,16965,9,15457.1111111111,14562
361,765010.887,6308868.373,20.845,5,9,7246.11111111111,6552,9,8492.22222222222,7484,9,32.1111111111111,19,9,12561.3333333333,10905,9,11296.2222222222,10450
362,764999.246,6308866.167,20.809,7.5,9,8963.11111111111,8448,9,13046.5555555556,12427,9,64.1111111111111,67,9,15973.5555555556,15150,9,16278.4444444444,15454
363,764994.762,6308864.463,20.765,19,9,16956.3333333333,17277,9,21428.3333333333,22225,9,84.4444444444444,86,9,25845.8888888889,25798,9,18807.2222222222,18642
364,764989.765,6308858.443,20.836,2.5,9,10295.3333333333,10249,9,16628,16262,9,64,63,9,24005.3333333333,24339,9,20415.2222222222,20388
365,764989.714,6308857.042,20.816,3,9,7423.66666666667,7278,9,9938.22222222222,9392,9,44.2222222222222,41,9,12476.6666666667,12380,9,12300.2222222222,11840
366,764990.282,6308855.621,20.823,3,9,9207.88888888889,9296,9,13151.4444444444,12961,9,56.6666666666667,58,9,16558.4444444444,16164,9,15144.8888888889,15063
367,764990.408,6308853.362,20.811,4,10,9282.2,9371,10,14911,14753,10,52.2,48.5,10,22233,21742,10,20130.8,19778
368,764990.72,6308851.942,20.825,4,10,7925,7311,10,12530.1,12283.5,10,58.7,56.5,10,17226.2,16802.5,10,17922.9,17663
369,764989.345,6308847.076,20.833,3.5,9,7330,7161,9,11776.5555555556,11186,9,57.7777777777778,57,9,16113.6666666667,15681,9,14445.8888888889,13859
370,764989.615,6308845.564,20.794,6,11,6873.63636363636,6560,11,10178,8501,11,36,36,11,12984.3636363636,10671,11,11952.5454545455,10415
371,764986.925,6308843.116,20.78,8,9,6511.66666666667,6335,9,9447.22222222222,9075,9,40.7777777777778,39,9,11976.6666666667,11346,9,10592.1111111111,10267
372,764982.014,6308833.95,20.804,6.5,10,9479.5,9463.5,10,17789.8,19318.5,10,88.3,88.5,10,25872.2,25745,10,20924.2,20514.5
373,764982.798,6308833.278,20.801,6.5,12,7561.16666666667,7481,12,11789.8333333333,11085.5,12,49.4166666666667,45,12,15727.5,15004,12,14514.8333333333,14805
374,764979.123,6308830.525,20.758,18,9,7760.66666666667,7749,9,10321.6666666667,10275,9,41.6666666666667,38,9,10742.1111111111,10373,9,7993.44444444444,7910
375,764980.657,6308828.291,20.75,12,9,8237.66666666667,8294,9,11735.8888888889,11782,9,50.7777777777778,49,9,13173.8888888889,13839,9,10887.2222222222,11012
376,764988.876,6308823.557,20.76,10,9,5769.33333333333,5479,9,7882.22222222222,7686,9,37.3333333333333,33,9,10499.3333333333,10222,9,10860.4444444444,10732
377,764992.977,6308824.097,20.773,7,9,8338.33333333333,8056,9,13512.6666666667,13130,9,63.8888888888889,63,9,17679.8888888889,17080,9,18336.8888888889,18872
378,764995.949,6308824.683,20.813,3.5,9,9411.66666666667,9263,9,15317,14527,9,45.2222222222222,35,9,23474,23634,9,18244.2222222222,16704
379,764997.18,6308823.911,20.803,5.5,9,10019.4444444444,10058,9,15373.7777777778,15262,9,52.2222222222222,54,9,19814,19324,9,16547.8888888889,15974
380,764996.92,6308822.576,20.857,3,10,8756.6,8351.5,10,12458.8,11980,10,75.4,75,10,14752.9,13778,10,13136.4,13566.5
381,764997.497,6308821.294,20.81,3.5,12,9025.33333333333,8918.5,12,14111.3333333333,13961,12,57.3333333333333,51,12,19370,20193,12,15448.25,16067.5
382,764997.447,6308819.624,20.829,3,11,8786,9298,11,12237.3636363636,12506,11,56.0909090909091,51,11,14956.2727272727,15230,11,11711.1818181818,11133
383,765001.97,6308820.001,20.771,7,9,12528.5555555556,12152,9,15560,16187,9,60,59,9,18827.4444444444,18512,9,13608.3333333333,13505
384,765005.705,6308820.676,20.775,8,10,9398,8726.5,10,11309,9938.5,10,58.3,69.5,10,15062.5,12760,10,15947.5,14745
385,765011.375,6308822.524,20.776,9,9,13172.3333333333,13774,9,18325.3333333333,19506,9,87.6666666666667,83,9,24520.1111111111,24341,9,20344.6666666667,20863
386,765015.485,6308824.254,20.786,5,9,8188.33333333333,7824,9,9505.88888888889,9376,9,45,48,9,12114,11837,9,11258.6666666667,10946
387,765015.036,6308826.117,20.783,5,9,7612.22222222222,7327,9,11057.4444444444,10401,9,7.88888888888889,7,9,15465.2222222222,13491,9,13292.2222222222,13355
388,765020.217,6308827.995,20.791,5,12,8041,7582.5,12,9940.25,9007,12,25.5,16.5,12,12474.1666666667,10897.5,12,11604.3333333333,10561
389,765027.645,6308826.655,20.797,3.5,9,9151.22222222222,8030,9,9960.77777777778,8644,9,57.5555555555556,54,9,11883.5555555556,11335,9,10278.3333333333,9697
390,765028.372,6308825.108,20.768,4,9,8848.44444444445,8034,9,11536,10300,9,41.7777777777778,37,9,15201.6666666667,15017,9,13737.7777777778,13938
391,765036.816,6308825.519,20.754,4.5,10,9404.2,9168,10,14112.4,14102,10,45.6,54,10,20268.2,19692.5,10,18284.2,18973
392,765042.065,6308827.097,20.754,6,9,6677.11111111111,6674,9,7491.88888888889,7319,9,34,24,9,8879,8526,9,8982,8749
393,765045.753,6308827.731,20.787,6.5,10,9701.8,9301,10,11529.5,10944,10,38.2,36.5,10,13725.7,12665.5,10,12250.5,11566.5
394,765051.005,6308829.32,20.726,8,9,8868.22222222222,8948,9,10816,10467,9,33.5555555555556,37,9,13366.4444444444,13346,9,11183.5555555556,10942
395,765056.411,6308828.756,20.778,5,12,13063.25,13467,12,18435.4166666667,18988.5,12,66.8333333333333,76,12,23263.0833333333,24598.5,12,17789.25,18304
396,765059.669,6308829.34,20.757,4,10,7924.6,7796.5,10,8500.9,8198.5,10,29.2,30,10,9745.7,9047.5,10,8398.5,8159
397,765061.175,6308829.726,20.729,7,12,7751,7817.5,12,8980.41666666667,9103,12,32.4166666666667,33,12,10548.5833333333,10476,12,9559.16666666667,9665.5
398,765064.552,6308829.417,20.709,13,9,10009.5555555556,9639,9,12320.5555555556,10566,9,41.6666666666667,44,9,14645.2222222222,13028,9,12141,11346
399,765069.515,6308830.33,20.681,13,9,11085.6666666667,11251,9,16986.6666666667,16661,9,62.3333333333333,74,9,20983.1111111111,22482,9,15830.3333333333,16142
400,765070.67,6308830.221,20.692,18,9,9874.44444444445,9714,9,10317.3333333333,9565,9,36.6666666666667,38,9,12419,12155,9,10502,10257
401,765071.96,6308827.869,20.721,2,9,10866.1111111111,11008,9,9485,9147,9,43.1111111111111,42,9,8752.22222222222,8762,9,6428.44444444444,6335
402,765074.299,6308827.588,20.701,3,9,9559.33333333333,9741,9,12580.6666666667,12476,9,55.2222222222222,59,9,15344.3333333333,15106,9,12995.3333333333,12901
403,765075.132,6308828.735,20.741,2.5,10,13474.8,13017.5,10,18965.5,18606.5,10,63,61.5,10,18743.4,17482,10,13560.5,13152.5
404,765076.834,6308830.497,20.721,5,10,8212.7,7843,10,11630.3,10958,10,28,20,10,15201.9,13979.5,10,14056.7,14065.5
405,765076.095,6308831.708,20.822,1,10,11084.8,10550.5,10,12483.1,11673,10,39.9,47.5,10,17360.8,15688.5,10,13637.3,12722
406,765078.764,6308833.841,20.732,3,9,10441.2222222222,10151,9,14244,15546,9,63.3333333333333,53,9,21211.4444444444,21623,9,17548.8888888889,18340
407,765079.439,6308836.124,20.786,0,10,8004.7,7582.5,10,9901.6,9340.5,10,25.2,17,10,12734.1,11454.5,10,12009.8,11432
408,765080.353,6308834.518,20.8,0,10,9636.2,9238.5,10,12959.9,12103.5,10,36,35,10,13304.6,11826.5,10,11705.7,10959.5
