field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
"421","765088.709","6308845.724","20.763","1","9","78.2222222222222","81","34.5825189551593","24","136","9","15579.3333333333","16516","2938.13319416712","10538","19098","9","11177.5555555556","11499","2188.60762998412","7581","13935","9","21210.5555555556","22588","3700.29479639757","14538","25011","9","17033","16943","1182.65614425984","14958","18663"
"422","765089.247","6308846.104","20.724","1","9","90.6666666666667","90","37.1633032857833","33","140","9","22230.2222222222","22129","1889.35378592657","19953","25533","9","15459.5555555556","15615","1277.34378136916","13219","17023","9","32463.8888888889","32902","2671.65244098706","28957","36351","9","24321.4444444444","25247","2265.6714536319","19301","26568"
"423","765089.798","6308845.252","20.79","0","12","56.4166666666667","53","28.2738345864551","16","105","12","16072","15946.5","3001.98092931984","11006","22654","12","11883.4166666667","12098.5","1521.37862142276","8759","14400","12","21465.0833333333","21239","4252.09517881741","13705","28633","12","16214.5833333333","16226.5","2592.97237606874","12220","19955"
"424","765090.058","6308844.253","20.772","0","9","56.5555555555556","43","31.6653021148495","19","109","9","15814.4444444444","16078","3474.64594874583","10934","21668","9","11655","10989","1955.95358954256","9110","14436","9","21563.1111111111","22055","5601.04316562637","13475","30942","9","17137.7777777778","16577","2816.21762802434","12874","22140"
"425","765090.521","6308843.306","20.761","0","9","16.6666666666667","13","7.46845216746936","9","31","9","8921","8972","965.401125612216","7917","10829","9","8355.77777777778","8500","525.039210763831","7678","9093","9","11370.5555555556","11253","1196.40044495619","10206","13544","9","11477.1111111111","10888","1298.63983925443","10349","13915"
"426","765090.855","6308841.891","20.784","0","10","73.9","66","44.4014639398297","28","147","10","14726.3","13438","4618.73056261133","9156","20958","10","13239","11806.5","3804.20922137571","8782","18536","10","16321.9","14661","5232.33298730117","10052","23654","10","13565","13282","2519.73526387198","10234","18094"
"427","765090.241","6308839.734","20.764","0","9","33.6666666666667","34","8.17856276425686","17","45","9","8955.55555555555","8418","1767.59096016843","7740","13747","9","8786.33333333333","8583","1262.8298908932","7549","11812","9","10610.5555555556","10140","1983.08704975691","8938","15804","9","9654.55555555555","9386","547.337415963481","9217","11055"
"428","765090.744","6308837.533","20.794","0","10","27.2","22.5","13.6440463206484","13","59","10","8105.1","7575","927.359417917347","7157","9699","10","7615.5","7369.5","644.397742081705","6847","8820","10","9718.6","9322.5","1162.54825276201","8308","11688","10","9702.5","9482.5","655.428600230414","8901","10918"
"429","765089.746","6308851.412","20.815","0","10","67.1","62","33.049810892046","26","113","10","15576.4","15287.5","2342.02567022652","10492","18996","10","11838.9","11886.5","1161.6272594942","9488","13907","10","21116.3","20128.5","3628.18676614091","14656","26636","10","17317.4","17335","2368.50421996669","13704","21116"
"430","765090.174","6308852.219","20.776","0","9","46.1111111111111","33","30.0423569294512","6","106","9","13069.1111111111","12598","3076.2981882792","9229","18617","9","9287.55555555555","8911","1112.5016964892","8187","11463","9","19933.7777777778","19573","4906.78796901186","13734","28476","9","20454","21203","3145.77572132676","15523","25512"
"431","765088.893","6308852.388","20.805","0","9","24.5555555555556","20","13.0222980657632","12","53","9","9280.11111111111","7597","3051.20600726425","6550","16674","9","7783.66666666667","7400","1329.1858828287","6457","11067","9","10845.7777777778","9148","3562.60493889195","7720","19647","9","11094.3333333333","10130","2365.50943538361","8710","16488"
"432","765088.237","6308851.073","20.789","0","12","24.75","24","12.5440889133754","10","58","12","9222.66666666667","7632","3257.73030225374","5930","16101","12","7460.75","6570","1974.19270948068","5605","12264","12","10809.25","8964.5","3790.94403645055","7176","19733","12","9267.58333333333","9002","1036.35928923752","8132","11438"
"433","765089.986","6308853.471","20.805","0","9","38.6666666666667","37","11.5181016954473","18","56","9","9317.11111111111","9223","1014.31777230308","7744","11327","9","7541.55555555556","7277","629.84638534789","6789","8785","9","13011.6666666667","12952","1704.10882542427","10384","16461","9","13040.7777777778","12954","1327.76903762814","11377","14998"
"434","765092.541","6308851.519","20.74","2","9","47","21","46.7261525629206","3","125","9","15722.1111111111","14760","5547.34467900223","7435","24836","9","12574.8888888889","12918","3093.30511641026","7247","16606","9","23037.3333333333","21157","8029.04542548144","10855","37028","9","19285.4444444444","19312","4937.73209549825","11736","27707"
"435","765095.593","6308852.54","20.704","6","10","55.9","56","27.8799210902757","18","113","10","12339.8","11912","1729.22628941385","10157","16422","10","10266.7","10321","1490.26487914062","8256","13120","10","16697.6","15877.5","2255.33887475918","13486","21280","10","14470.7","13999","1522.60999931039","12291","16804"
"436","765096.224","6308855.355","20.75","1","10","44.8","31.5","34.2105246963562","4","104","10","9876.3","8619.5","2243.32628255455","7819","13749","10","7438.2","6955.5","950.564232443026","6358","9025","10","13860","11842","3450.73076318626","11140","20739","10","14060.1","13017","2550.60974866795","11149","18295"
"437","765096.202","6308857.93","20.737","0","9","64.3333333333333","43","29.3825344947187","35","103","9","15002","14931","1993.24247284558","11312","18424","9","11031","11161","989.755749892086","9179","12830","9","17471.3333333333","17979","2389.24711525991","12839","20419","9","13648.3333333333","14296","1364.46505594276","11070","15155"
"438","765097.184","6308857.642","20.777","0","9","43.5555555555556","42","12.5972758176001","27","67","9","9926","9162","1798.69292049038","7865","13235","9","8640.77777777778","8203","1271.71972609077","7145","10893","9","12962.6666666667","12453","2614.8437386922","10189","17959","9","12144.2222222222","11969","1733.49510641092","10275","15615"
"439","765098.35","6308858.118","20.728","4","9","54.5555555555556","44","19.3970851825795","35","89","9","17046.3333333333","17726","1934.1123717785","13704","19147","9","12132.7777777778","11997","950.864492948715","10224","13306","9","22324.5555555556","23228","2923.31554958905","17634","25827","9","17442.6666666667","17635","1709.33957357155","14760","19474"
"440","765100.364","6308857.859","20.772","4","10","45.8","40","18.9831504234676","25","81","10","12180.9","12002","1707.44126985381","10474","16086","10","9184.8","9004","680.761015335044","8223","10529","10","15187.1","14188","2185.18120301269","12822","19538","10","14875.7","14009.5","1749.72506697481","12821","17962"
"441","765100.405","6308857.887","20.77","0","9","36.6666666666667","34","10.2415276638248","25","59","9","11476.7777777778","11069","1434.73015486674","9991","15035","9","9118.88888888889","8689","1135.22336954691","7998","11915","9","14070.7777777778","13768","1779.72043858191","12479","18769","9","13632.1111111111","13687","824.234384739956","12690","15495"
"442","765101.11","6308858.133","20.774","0","9","32.2222222222222","36","11.6216061022159","8","45","9","11180","11219","1590.25749137958","8681","13637","9","8605.55555555555","8821","860.062027622441","7324","10213","9","13902.7777777778","13737","1700.09821793251","11266","16215","9","13910.7777777778","13512","1224.45659401111","12302","16096"
"443","765100.931","6308859.683","20.785","1","10","74.3","80.5","24.7145706011656","32","110","10","18503","18506.5","1495.68405754691","15910","20819","10","13100.2","13189.5","995.238142355888","11171","14119","10","24230.3","24501","1868.45749483364","20837","26801","10","21294.8","21248","1112.9643120963","19764","23120"
"444","765102.253","6308860.426","20.782","1","9","66.4444444444444","54","31.0809377490131","24","113","9","14085.5555555556","14036","1486.76166446192","11419","16831","9","10607.8888888889","10801","1120.20677103673","8656","12044","9","16803.2222222222","16713","1615.25263093065","13469","19621","9","14624.7777777778","14801","891.85334840529","12835","15814"
"445","765103.112","6308861.288","20.789","0","10","61.5","52.5","30.6439227253953","19","114","10","20742.9","20556.5","3077.5953421462","14608","25697","10","13395.2","14036.5","2395.51960125564","9596","17642","10","25436.9","25218.5","3369.8416713549","19163","30254","10","20217.6","20480.5","1137.95722239459","17814","21965"
"446","765104.079","6308861.155","20.763","0","12","54","53.5","23.1624696438009","12","102","12","15310.9166666667","14521.5","3698.93861935045","9424","23784","12","10649.1666666667","10670","1888.57366078801","7469","13805","12","20343.0833333333","19690.5","5460.86578084363","11837","29528","12","18752.5","18354","3328.42401395415","14050","25885"
"447","765099.305","6308855.443","20.736","2","12","48.8333333333333","42.5","20.1652892091556","27","94","12","14965.3333333333","15137","3761.54359568279","8498","19697","12","11637.0833333333","12156.5","1876.81101243276","8167","13717","12","17693.0833333333","17721","4439.42756179092","11134","25388","12","13821.75","13431.5","2067.49071440881","11237","17534"
"448","765098.524","6308852.088","20.77","1","9","43.3333333333333","29","29.1814248376524","7","82","9","11735.3333333333","11069","2643.96020309602","8569","16678","9","8731.44444444445","7891","1823.51157636463","7016","12670","9","15327.6666666667","14358","3360.00267857036","11353","21305","9","15185.8888888889","15257","2215.05878750402","12714","19603"
"449","765098.918","6308849.211","20.742","1","9","41","32","22.7205242506026","17","80","9","10928.4444444444","11024","2468.53618842833","8009","15142","9","8967.11111111111","8848","1715.51368688115","7193","11951","9","13011.5555555556","12654","2579.9027161293","10374","17378","9","12955.8888888889","11956","2319.87353316437","10664","17278"
"450","765099.971","6308840.076","20.755","2.5","9","41.8888888888889","40","17.8166242247355","14","71","9","11565","11248","1899.88520121027","8623","14253","9","8694","8685","1183.82778402191","7127","11022","9","14595.3333333333","15574","2143.94713865182","11324","17035","9","14533.5555555556","14103","2061.40324973662","11866","17770"
"451","765100.333","6308838.612","20.756","4","12","28.1666666666667","23","13.5636360251307","14","57","12","9447.75","9164","1066.66693684892","8220","11800","12","7152.41666666667","7069","545.256431772142","6522","8075","12","13181.1666666667","13097.5","1503.68634990442","11761","17325","12","13334.0833333333","13301.5","691.98042582303","12536","15147"
"452","765098.626","6308836.052","20.734","4.5","12","36.6666666666667","25","26.5309044114385","10","92","12","11182.3333333333","10827.5","2939.99983938019","7176","16034","12","8429.58333333333","8573","1577.99036004308","6213","11490","12","14371.0833333333","14170.5","4238.88065921365","8469","22238","12","13094.5","13160.5","2244.61765489508","9390","15827"
